,time,price,amount
640,1534133898,6344.35,1.32528318
641,1534133898,6345.93,0.109
642,1534133898,6347.16,2.52603841
643,1534133905,6344.25,1.81767691
644,1534133958,6347.05,0.09063011
645,1534133958,6347.52,0.082
646,1534133967,6347.24,0.05850116
647,1534133984,6347.99,0.015
648,1534133988,6348.01,0.02438075
649,1534133999,6348.11,0.00316871
650,1534134000,6348.11,1.0
651,1534134001,6348.39,0.99753008
652,1534134003,6348.11,0.04469
653,1534134007,6346.65,0.00777856
654,1534134029,6345.16,0.02
655,1534134211,6346.55,0.00377417
656,1534134246,6347.66,0.03558983
657,1534134246,6347.67,0.17764152
658,1534134247,6348.93,0.083
659,1534134247,6350.52,0.087
660,1534134248,6352.01,0.00478781
661,1534134275,6350.98,0.01023236
662,1534134285,6352.11,0.063
663,1534134292,6353.7,0.092
664,1534134314,6353.7,0.00578895
665,1534134315,6353.7,0.04123875
666,1534134324,6352.34,0.03933508
667,1534134341,6352.0,0.03935768
668,1534134348,6352.01,0.075414
669,1534134352,6355.29,0.09
670,1534134371,6352.02,0.03935745
671,1534134371,6352.01,0.06546983
672,1534134376,6352.01,0.0742177
673,1534134376,6350.74,0.06340513
674,1534134379,6350.14,0.02016511
675,1534134388,6350.81,0.0488227
676,1534134396,6351.46,0.0022518
677,1534134398,6354.39,0.03933787
678,1534134403,6351.46,0.00132643
679,1534134403,6350.81,0.00423016
680,1534134418,6350.82,0.03936018
681,1534134418,6350.81,0.1352853
682,1534134418,6350.81,0.06140043
683,1534134419,6350.81,0.00999056
684,1534134423,6353.79,0.008772
685,1534134455,6350.81,0.26118996
686,1534134467,6350.81,0.00268447
687,1534134469,6351.59,0.008772
688,1534134469,6350.84,0.61001445
689,1534134490,6350.81,0.186538
690,1534134496,6350.81,0.10431658
691,1534134497,6353.78,0.0074371
692,1534134532,6350.14,0.2
693,1534134534,6349.28,0.2
694,1534134669,6352.03,0.03190095
695,1534134676,6348.67,0.03936096
696,1534134676,6348.66,0.16063904
697,1534134677,6348.52,0.2
698,1534134730,6351.31,0.01258
699,1534134737,6348.52,0.4
700,1534134804,6351.31,0.02677812
701,1534134804,6351.31,0.25205302
702,1534134830,6351.31,0.09581941
703,1534134842,6348.52,0.03937444
704,1534134842,6348.51,0.10362556
705,1534134882,6347.86,0.8
706,1534134897,6347.85,0.2
707,1534134914,6351.09,0.03936332
708,1534134914,6351.09,2.1014566
709,1534135023,6350.7,0.03579
710,1534135051,6348.06,0.01514775
711,1534135051,6348.06,0.0017
712,1534135055,6348.06,0.01696977
713,1534135058,6348.06,0.01696977
714,1534135061,6348.06,0.01696977
715,1534135063,6348.06,0.01696977
716,1534135093,6348.82,0.03937729
717,1534135094,6347.85,0.01191068
718,1534135173,6345.68,0.0393818
719,1534135177,6345.68,0.01115177
720,1534135187,6345.68,0.01237902
721,1534135200,6345.0,0.03938687
722,1534135233,6344.26,0.12041351
723,1534135253,6344.25,0.47064023
724,1534135260,6345.52,1.0
725,1534135260,6345.52,0.07526486
726,1534135262,6345.52,0.0316
727,1534135272,6344.25,0.40806113
728,1534135316,6345.51,0.0099714
729,1534135331,6345.51,0.02942654
730,1534135332,6345.51,4.01895199
731,1534135344,6345.51,0.00997308
732,1534135354,6345.51,0.00998767
733,1534135355,6345.51,0.124899
734,1534135357,6345.51,0.0099316
735,1534135399,6345.51,0.0451
736,1534135419,6344.26,0.03937729
737,1534135440,6344.26,2.831e-05
738,1534135440,6344.25,0.12129864
739,1534135442,6343.02,0.179116
740,1534135444,6337.36,0.2
741,1534135449,6337.38,0.00946761
742,1534135449,6337.38,0.01
743,1534135456,6336.94,1.0
744,1534135456,6336.94,1.0
745,1534135458,6336.94,0.41677473
746,1534135458,6337.86,0.58322527
747,1534135464,6336.93,0.00093357
748,1534135471,6333.04,0.12375
749,1534135489,6333.0,0.01982058
750,1534135491,6330.64,0.06709267
751,1534135510,6332.99,0.01492421
752,1534135594,6331.14,0.00783632
753,1534135601,6331.13,0.03851771
754,1534135634,6334.6,0.00185409
755,1534135646,6331.94,0.00548625
756,1534135697,6334.4,0.00666004
757,1534135700,6335.43,0.02343834
758,1534135703,6335.43,0.00756166
759,1534135707,6337.01,0.029
760,1534135785,6337.03,0.01314657
761,1534135786,6337.03,0.02080679
762,1534135786,6337.03,0.00888059
763,1534135790,6337.03,0.04108554
764,1534135790,6337.03,0.00485272
765,1534135791,6337.03,0.10180998
766,1534135791,6337.03,0.14472472
767,1534135792,6337.03,0.38145734
768,1534135793,6337.03,0.0491452
769,1534135794,6337.03,0.01700326
770,1534135796,6337.03,0.13149981
771,1534135796,6337.03,0.03610812
772,1534135822,6337.53,0.03944462
773,1534135828,6338.58,0.69468427
774,1534135834,6338.24,0.52185622
775,1534135840,6338.59,0.024
776,1534135882,6337.94,0.02018479
777,1534135889,6337.13,0.03675699
778,1534135890,6337.13,0.02798467
779,1534135959,6337.94,0.001
780,1534135976,6337.94,0.97556166
781,1534135976,6337.94,0.03163834
782,1534135994,6337.13,0.03942792
783,1534136010,6336.05,0.00271161
784,1534136020,6334.32,0.25048972
785,1534136020,6334.32,0.00446978
786,1534136021,6336.0,3.49305085
787,1534136028,6336.01,0.001
788,1534136095,6338.13,0.03945682
789,1534136095,6338.14,0.02027818
790,1534136112,6336.02,0.03946942
791,1534136114,6336.01,2.04684338
792,1534136114,6336.0,0.2136872
793,1534136195,6339.12,0.0214541
794,1534136197,6339.12,0.00228073
795,1534136199,6339.73,0.021
796,1534136199,6340.24,0.01699003
797,1534136200,6340.24,0.02245615
